#Mean Central England Temperature 1659 to 2022
#Units: Degrees Celsius
#Notes:
#1) seasonal values are calculated from the monthly data by
#   averageing the three monthly values
#2) Seasons are Win=DJF   Spr=MAM   Sum=JJA   Aut=SON
#3) Winter: year refers to January
#4) Seasonal data exist for Spring 1659 onwards
#
# Year   Win    Spr    Sum    Aut  Annual
  2009    3.6    9.8   15.9   11.4   10.2
  2010    2.5    8.6   15.9    9.7    8.9
  2011    3.1   10.3   14.9   12.4   10.7
  2012    5.2    9.2   15.3    9.8    9.8
  2013    3.9    6.9   16.4   10.7    9.6
  2014    6.1   10.1   16.0   12.0   11.0
  2015    4.6    8.8   15.3   11.0   10.3
  2016    6.8    8.7   16.5   10.8   10.4
  2017    5.4   10.3   16.2   10.9   10.6
  2018    4.4    9.4   17.4   10.8   10.7
  2019    5.9    9.4   16.3   10.1   10.4
  2020    6.2    9.9   16.3   11.0   10.8
  2021    4.5    8.0   16.5   11.7   10.3
  2022    5.9   10.1   17.3   12.2   11.1
